player_id,player_name,games_p1,games_p2,bb_score_p1,bb_score_p2,tear2_p1,tear2_p2,tear3_p1,tear3_p2,tear4_p1,tear4_p2,tear5_p1,tear5_p2,longest_tear_p1,longest_tear_p2,boom_rate_p1,boom_rate_p2,best_week_p1,best_week_p2,top3_avg_p1,top3_avg_p2,iv_p1,iv_p2,iv_tier_p1,iv_tier_p2,mean_week_p1,mean_week_p2,std_week_p1,std_week_p2,useful_pct_p1,useful_pct_p2,useful_ppw_p1,useful_ppw_p2,useful_total_p1,useful_total_p2,useful_eff_p1,useful_eff_p2,useful_count_p1,useful_count_p2,wasted_p1,wasted_p2,high_week_rate_p1,high_week_rate_p2,top5_pct_p1,top5_pct_p2,weekly_cv_p1,weekly_cv_p2,tear2_count_p1,tear2_count_p2,tear3_count_p1,tear3_count_p2,boom_count_p1,boom_count_p2,high_week_count_p1,high_week_count_p2,bb_change,tear_profile_p1,tear_profile_p2,boom_profile_p1
624641,Edmundo Sosa,37,47,23.38,44.61,5.41,4.26,2.7,4.26,2.7,0.0,0.0,0.0,4,3,10.81081081081081,10.638297872340425,55.0,63.0,45.666666666666664,57.333333333333336,0.9022019866538082,0.8414265414753406,Low-Vol,Low-Vol,14.891891891891891,24.361702127659573,14.07279444685893,13.732578737400651,0.0,7.6923076923076925,0.0,63.0,0.0,63.0,0.0,5.502183406113537,0,1,181.0,226.0,10.81081081081081,10.638297872340425,39.01996370235935,23.056768558951966,0.9449970862682041,0.5636953717535639,2,2,1,2,4,5,4,5,21.23,Low (0-5),Low (0-5),High (10-15%)
669701,Josh Smith,64,77,52.01,22.87,4.69,3.9,3.12,2.6,1.56,0.0,0.0,0.0,4,3,10.9375,10.38961038961039,90.0,73.0,89.0,69.33333333333333,1.3763845284688463,0.9895477138196923,High-IV,Low-Vol,38.15625,33.311688311688314,21.469224004725447,16.150003862032893,15.384615384615385,0.0,65.0,0.0,130.0,0.0,5.323505323505324,0.0,2,0,338.0,424.0,40.625,32.467532467532465,16.994266994266994,12.709551656920079,0.5626659853818299,0.48481493075108484,3,3,2,2,7,8,26,25,-29.139999999999997,Low (0-5),Low (0-5),High (10-15%)
595978,Austin Hedges,23,35,23.37,21.63,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0,2,26.08695652173913,17.142857142857142,21.0,35.0,18.333333333333332,29.333333333333332,0.4362861126269169,0.48050587278158474,Low-Vol,Low-Vol,8.695652173913043,9.971428571428572,6.805310644226822,7.84213999262099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,81.0,120.0,0.0,0.0,43.5,34.95702005730659,0.7826107240860846,0.7864610307786093,0,1,0,0,6,6,0,0,-1.740000000000002,No Tears,No Tears,Elite (15%+)
669707,Jared Triolo,42,58,26.4,52.65,11.9,5.17,7.14,1.72,0.0,1.72,0.0,0.0,3,4,11.904761904761903,10.344827586206897,56.0,86.0,47.333333333333336,84.66666666666667,0.8009573214299556,1.3343722109680844,Low-Vol,Normal,18.357142857142858,41.36206896551724,12.493552344077964,21.777743568664977,0.0,8.333333333333332,0.0,81.0,0.0,81.0,0.0,3.3764068361817423,0,1,190.0,319.0,9.523809523809524,55.172413793103445,28.01556420233463,17.382242601083785,0.6805826179653365,0.5265148507638886,5,3,3,1,5,6,4,32,26.25,Moderate (5-15),Low (0-5),High (10-15%)
808975,Hyeseong Kim,27,31,26.45,20.43,7.41,3.23,0.0,0.0,0.0,0.0,0.0,0.0,2,2,14.814814814814813,12.903225806451612,61.0,39.0,57.0,38.0,0.9969833631957494,0.6676101124340575,Low-Vol,Low-Vol,30.074074074074073,12.580645161290322,15.551220397141051,10.895791828494728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,198.0,112.0,22.22222222222222,0.0,33.251231527093594,41.02564102564102,0.5170972299541976,0.866075760726504,2,1,0,0,4,4,6,0,-6.02,No Tears,No Tears,High (10-15%)
667670,Brent Rooker,80,82,57.64,52.79,2.5,3.66,1.25,1.22,0.0,0.0,0.0,0.0,3,3,11.25,10.975609756097562,91.0,86.0,88.66666666666667,83.33333333333333,1.281844086695629,1.0193200854999285,Normal,Normal,52.2,46.36585365853659,19.99455622115711,16.63590657385029,38.46153846153847,28.57142857142857,68.6,72.0,343.0,288.0,8.21360153256705,7.574960547080484,5,4,322.0,382.0,72.5,62.19512195121951,10.39272030651341,10.65228826933193,0.38303747550109407,0.35879651211355174,2,3,1,1,9,9,58,51,-4.850000000000001,Low (0-5),Low (0-5),High (10-15%)
808982,Jung Hoo Lee,74,74,53.09,50.77,9.46,4.05,0.0,2.7,0.0,1.35,0.0,0.0,2,4,10.81081081081081,14.864864864864865,99.0,72.0,97.33333333333333,69.66666666666667,1.2659539498427919,0.9757164868378059,Normal,Low-Vol,45.28378378378378,35.08108108108108,19.746697501080668,15.92427005854414,15.384615384615385,14.285714285714285,81.0,64.0,162.0,128.0,4.834377797672337,4.930662557781202,2,2,395.0,344.0,64.86486486486487,36.486486486486484,14.085347657415697,12.827426810477657,0.436065537176953,0.45392757485834606,7,3,0,2,8,11,48,27,-2.3200000000000003,No Tears,Low (0-5),High (10-15%)
669720,Austin Hays,31,72,71.53,42.43,6.45,4.17,0.0,0.0,0.0,0.0,0.0,0.0,2,2,12.903225806451612,12.5,100.0,73.0,93.0,69.33333333333333,1.8418103846028586,0.892868294091493,Gamma,Low-Vol,50.67741935483871,40.81944444444444,28.729064373643396,14.572138560356274,66.66666666666666,7.142857142857142,74.0,61.0,296.0,61.0,18.84150222788033,2.075535896563457,4,1,7.0,448.0,70.96774193548387,55.55555555555556,28.580521960534693,11.262334127254169,0.5669006973793413,0.35699012464976243,2,3,0,0,4,9,22,40,-29.1,No Tears,No Tears,High (10-15%)
663586,Austin Riley,76,26,55.02,26.69,5.26,7.69,1.32,0.0,0.0,0.0,0.0,0.0,3,2,10.526315789473683,15.384615384615385,104.0,59.0,97.33333333333333,55.666666666666664,1.2278516205208878,0.9771818304005979,Normal,Low-Vol,47.51315789473684,33.23076923076923,19.15236690058795,15.948185332024938,30.76923076923077,0.0,71.25,0.0,285.0,0.0,7.892550540016615,0.0,4,0,306.0,176.0,64.47368421052632,38.46153846153847,12.323456106341734,30.671296296296298,0.4030960632635514,0.4799222437877874,4,2,1,0,8,4,49,10,-28.330000000000002,Low (0-5),No Tears,High (10-15%)
669743,Alex Call,52,45,24.5,23.59,5.77,11.11,0.0,2.22,0.0,0.0,0.0,0.0,2,3,13.461538461538462,11.11111111111111,66.0,54.0,58.333333333333336,53.333333333333336,1.0116026410272885,0.9318586245168053,Normal,Low-Vol,28.73076923076923,19.444444444444443,15.779255909064297,15.2084838099654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,300.0,225.0,25.0,11.11111111111111,18.54082998661312,29.942857142857143,0.5492110490437373,0.7821505959410778,3,5,0,1,7,5,13,5,-0.9100000000000001,No Tears,Low (0-5),High (10-15%)
