player_id,player_name,games_p1,games_p2,bb_score_p1,bb_score_p2,tear2_p1,tear2_p2,tear3_p1,tear3_p2,tear4_p1,tear4_p2,tear5_p1,tear5_p2,longest_tear_p1,longest_tear_p2,boom_rate_p1,boom_rate_p2,best_week_p1,best_week_p2,top3_avg_p1,top3_avg_p2,iv_p1,iv_p2,iv_tier_p1,iv_tier_p2,mean_week_p1,mean_week_p2,std_week_p1,std_week_p2,useful_pct_p1,useful_pct_p2,useful_ppw_p1,useful_ppw_p2,bb_change,tear_profile_p1,tear_profile_p2,boom_profile_p1
656986,Bennett Sousa,22,22,20.33,18.95,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0,2,13.636363636363635,13.636363636363635,23.9,19.05,19.9,17.36666666666667,0.7986351720194195,0.667392391778096,Low-Vol,Low-Vol,12.515909090909092,9.736363636363636,5.781855575514135,4.86667926820405,0.0,0.0,0.0,0.0,-1.379999999999999,No Tears,No Tears,High (10-15%)
669276,Dylan Lee,35,39,19.86,17.71,11.43,5.13,2.86,0.0,0.0,0.0,0.0,0.0,3,2,11.428571428571429,10.256410256410255,21.8,21.5,19.5,19.083333333333332,0.8015499777050606,0.9215218454521437,Low-Vol,Low-Vol,10.095714285714285,8.680769230769231,5.80295780854308,6.719811786452365,0.0,0.0,0.0,0.0,-2.1499999999999986,Low (0-5),No Tears,High (10-15%)
601713,Nick Pivetta,15,16,50.01,50.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.333333333333334,12.5,61.85,52.4,53.56666666666666,49.0,1.8913017170834696,1.7635012875499585,Gamma,Gamma,32.85999999999999,31.053124999999998,13.69240143812827,12.859593937990422,25.0,23.076923076923077,39.333333333333336,47.36666666666667,0.7800000000000011,No Tears,No Tears,High (10-15%)
663158,Robert Suarez,34,36,24.79,15.27,2.94,2.78,2.94,0.0,0.0,0.0,0.0,0.0,3,2,11.76470588235294,11.11111111111111,25.15,19.3,21.48333333333333,18.5,1.1983059003066914,0.6203747691797227,Normal,Low-Vol,8.588235294117645,10.640277777777776,8.675339997035916,4.523822963639184,0.0,0.0,0.0,0.0,-9.52,Low (0-5),No Tears,High (10-15%)
669302,Logan Gilbert,8,17,50.46,48.54,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0,2,12.5,11.76470588235294,50.2,55.6,47.53333333333333,49.099999999999994,1.8075341877690778,1.6831034462535965,Gamma,Gamma,36.425,33.061764705882354,13.085952118861771,12.273326380455156,14.285714285714285,28.57142857142857,50.2,37.675,-1.9200000000000017,No Tears,No Tears,High (10-15%)
702070,Noah Cameron,8,16,25.71,30.3,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0,2,12.5,12.5,41.45,52.95,33.7,51.53333333333333,1.1159994733870444,2.3166543228671244,Normal,Nuclear,25.868750000000002,27.165625,8.079468577821192,16.89323058456651,0.0,0.0,0.0,0.0,4.59,No Tears,No Tears,High (10-15%)
820862,José Fermin,10,30,19.86,17.37,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,10.0,10.0,17.25,18.15,15.733333333333333,17.73333333333333,0.9128175411693947,0.88417700016124,Low-Vol,Low-Vol,7.535000000000001,8.074999999999998,6.608498316561789,6.447490155893596,0.0,0.0,0.0,0.0,-2.4899999999999984,No Tears,No Tears,Medium (5-10%)
642701,Dennis Santana,34,36,19.87,18.28,5.88,2.78,2.94,0.0,2.94,0.0,0.0,0.0,4,2,11.76470588235294,11.11111111111111,21.0,20.599999999999998,19.983333333333334,17.78333333333333,0.7317758281438849,0.9054002625236749,Low-Vol,Low-Vol,8.626470588235295,8.61111111111111,5.297815949279672,6.602251900581359,0.0,0.0,0.0,0.0,-1.5899999999999999,Low (0-5),No Tears,High (10-15%)
650893,Génesis Cabrera,15,25,21.05,15.45,6.67,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,13.333333333333334,12.0,12.2,8.65,11.666666666666666,7.816666666666667,0.7917525713386853,0.48844410589538495,Low-Vol,Low-Vol,4.8100000000000005,2.6040000000000005,5.732027813709809,3.5617739026127606,0.0,0.0,0.0,0.0,-5.600000000000001,No Tears,No Tears,High (10-15%)
657044,Ryan Thompson,32,16,16.9,15.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.5,12.5,12.2,11.7,11.966666666666669,10.450000000000001,0.6638140014789242,0.45826424490063894,Low-Vol,Low-Vol,5.7921875,6.29375,4.805794710806877,3.341699916709059,0.0,0.0,0.0,0.0,-1.2899999999999991,No Tears,No Tears,High (10-15%)
450203,Charlie Morton,17,16,54.24,29.68,11.76,6.25,5.88,0.0,0.0,0.0,0.0,0.0,3,2,11.76470588235294,12.5,56.95,49.8,47.48333333333334,39.31666666666667,2.656394812501519,2.125397240805686,Nuclear,Nuclear,15.50294117647059,17.01875,19.231423427786712,15.498568482282485,8.333333333333332,0.0,56.95,0.0,-24.560000000000002,Moderate (5-15),No Tears,High (10-15%)
650911,Cristopher Sánchez,15,17,49.64,51.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.333333333333334,11.76470588235294,52.4,58.55,47.28333333333333,55.633333333333326,1.5125065113579157,1.5784424327149449,High-IV,High-IV,33.54999999999999,43.055882352941175,10.950048923569765,11.510129809663058,25.0,28.57142857142857,39.38333333333333,46.7625,1.5700000000000003,No Tears,No Tears,High (10-15%)
593576,Héctor Neris,21,14,26.98,21.66,9.52,0.0,4.76,0.0,0.0,0.0,0.0,0.0,3,0,14.285714285714285,14.285714285714285,16.5,15.400000000000002,15.633333333333335,13.816666666666668,0.9632162763746716,0.7765181110949942,Low-Vol,Low-Vol,5.819047619047619,6.760714285714285,6.973368558137382,5.662432834426879,0.0,0.0,0.0,0.0,-5.32,Low (0-5),No Tears,High (10-15%)
669358,Shane Baz,15,16,49.69,51.85,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0,2,13.333333333333334,12.5,55.849999999999994,64.55,44.416666666666664,50.9,2.125104974517736,2.3362450734544415,Nuclear,Nuclear,25.159999999999993,27.28125,15.38506000731136,17.03608792142922,8.333333333333332,7.6923076923076925,55.849999999999994,64.55,2.1600000000000037,No Tears,No Tears,High (10-15%)
669371,Cole Henry,26,31,19.63,19.34,3.85,6.45,0.0,3.23,0.0,0.0,0.0,0.0,2,3,11.538461538461538,12.903225806451612,20.6,13.250000000000002,19.0,11.883333333333335,0.9259871429025226,0.6066628466724232,Low-Vol,Low-Vol,8.598076923076924,5.1241935483870975,6.7038418950513865,4.423834516339529,0.0,0.0,0.0,0.0,-0.28999999999999915,No Tears,Low (0-5),High (10-15%)
669373,Tarik Skubal,15,16,53.94,52.41,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2,13.333333333333334,12.5,82.0,65.85,73.21666666666667,59.36666666666665,2.983502309856965,1.8551131315489238,Nuclear,Gamma,48.363333333333344,39.615624999999994,21.59957395964317,13.52763490969504,30.76923076923077,14.285714285714285,46.675,61.39999999999999,-1.5300000000000011,No Tears,No Tears,High (10-15%)
552640,Andrew Kittredge,12,42,22.56,20.76,0.0,7.14,0.0,2.38,0.0,0.0,0.0,0.0,0,3,16.666666666666664,11.904761904761903,14.350000000000001,23.2,13.0,22.73333333333333,0.6212984588624694,0.8699347784411623,Low-Vol,Low-Vol,7.066666666666667,11.952380952380954,4.4979961868558425,6.343634723868663,0.0,0.0,0.0,0.0,-1.7999999999999972,No Tears,Low (0-5),Elite (15%+)
573124,Taylor Rogers,30,27,14.42,13.93,3.33,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2,2,10.0,11.11111111111111,15.25,13.1,14.716666666666667,11.833333333333334,0.6340000528709108,0.5000656366370421,Low-Vol,Low-Vol,7.16,6.453703703703703,4.589951543580149,3.6465190441846236,0.0,0.0,0.0,0.0,-0.4900000000000002,No Tears,No Tears,Medium (5-10%)
657097,Jacob Webb,30,25,20.04,21.19,3.33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,10.0,12.0,23.4,24.65,21.350000000000005,23.53333333333333,1.0716272245834946,0.9738346502618499,Normal,Low-Vol,7.370000000000001,10.356000000000002,7.7582281126734,7.101280987727965,0.0,0.0,0.0,0.0,1.1500000000000021,No Tears,No Tears,Medium (5-10%)
669387,Carmen Mlodzinski,12,22,30.31,30.72,0.0,9.09,0.0,4.55,0.0,0.0,0.0,0.0,0,3,16.666666666666664,13.636363636363635,26.6,35.55,22.96666666666667,32.583333333333336,1.262546354385437,1.33755689455538,Normal,Normal,11.6,16.763636363636362,9.140419723802225,9.753572993892348,0.0,0.0,0.0,0.0,0.41000000000000014,No Tears,Low (0-5),Elite (15%+)
681676,Ryan Fernandez,11,21,20.36,24.48,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0,2,18.181818181818183,14.285714285714285,6.7,21.35,4.8999999999999995,17.133333333333333,0.6691013302800615,1.0551196073961207,Low-Vol,Normal,-0.3636363636363636,6.29047619047619,4.844073229684441,7.694017465661536,0.0,0.0,0.0,0.0,4.120000000000001,No Tears,No Tears,Elite (15%+)
